"EntityUrn","CtsUrn","Label","OptionalCtsGroupUrn","Notes"
"urn:cite:digAth:characters.char1","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@Ἀθήναιος[1]-1.1@πατήρ[1]","Athenaeus Naucratita","urn:cts:greekLit:tlg0008","this is the author of the Deipnosophists"
"urn:cite:digAth:characters.char2","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@Τιμοκράτην","Timocrates","","This the Timocrates to whom Athenaeus relates the story of the banquet"
"urn:cite:digAth:characters.char3","urn:cts:greekLit:tlg0008.tlg001.berti:1.1@Λαρήνσιος[1]-1.1@Ῥωμαῖος[1]","Larensis Romanus","","Larensis hosts the banquet described by Athenaeus"
"urn:cite:digAth:characters.char4","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@οἱ[1]-1.2@δειπνοσοφισταὶ[1]","the deipnosophists","",""
"urn:cite:digAth:characters.char5","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Μανσούριος[1]-1.2@ἐξηγητὴς[1]","Masurius iure consultus","","one of the deipnosophists"
"urn:cite:digAth:characters.char6","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2@χαριέστατοι[1]","Plutarchus Alexandrinus grammaticus","","one of the deipnosophists"
"urn:cite:digAth:characters.char7","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2@χαριέστατοι[1]","Leonidas Eleus grammaticus","","one of the deipnosophists"
"urn:cite:digAth:characters.char8","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2@χαριέστατοι[1]","Aemilianus Maurus grammaticus","","one of the deipnosophists"
"urn:cite:digAth:characters.char9","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Πλούταρχος[1]-1.2@χαριέστατοι[1]","Zoilus grammaticus","","one of the deipnosophists"
"urn:cite:digAth:characters.char10","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@φιλοσόφων[1]-1.2@Νικομηδεῖς[1]","Pontianus Nicomedensis philosophus","","one of the deipnosophists"
"urn:cite:digAth:characters.char11","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@φιλοσόφων[1]-1.2@Νικομηδεῖς[1]","Democritus Nicomedensis philosophus","","one of the deipnosophists"
"urn:cite:digAth:characters.char12","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Φιλάδελφός[1]-1.2@τεθραμμένος[1]","Philadelphus Ptolemaeensis philosophus","","one of the deipnosophists"
"urn:cite:digAth:characters.char13","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@τῶν[2]-1.2@Κύνουλκον[1]","Cynulcus cynicus","","one of the deipnosophists"
"urn:cite:digAth:characters.char14","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@ῥητόρων[1]-1.2@ἄγυρις[1]","the crowd of orators","","referring to the group of orators attending the banquet"
"urn:cite:digAth:characters.char15","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@τῶν[1]-1.2@κυνικῶν[1]","the Cynics","","referring to the group of Cynics attending the banquet"
"urn:cite:digAth:characters.char16","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@Οὐλπιανὸς[1]-1.2@Κειτούκειτος[1]","Ulpianus Tyrius","","one of the deipnosophists"
"urn:cite:digAth:characters.char17","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@ἰατρῶν[1]-1.2@Νικαεύς[1]","Daphnus Ephesius medicus","","one of the deipnosophists"
"urn:cite:digAth:characters.char18","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@ἰατρῶν[1]-1.2@Νικαεύς[1]","Galenus Pergamenus medicus","urn:cts:greekLit:tlg0057","one of the deipnosophists"
"urn:cite:digAth:characters.char19","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@ἰατρῶν[1]-1.2@Νικαεύς[1]","Rufinus Nicaeensis medicus","","one of the deipnosophists"
"urn:cite:digAth:characters.char20","urn:cts:greekLit:tlg0008.tlg001.berti:1.2@μουσικὸς[1]-1.2@Ἀλεξανδρεύς[1]","Alcides Alexandrinus musicus","","one of the deipnosophists"